Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,WHO Region
2020-06-01,Afghanistan,15750,265,1428,14057,545,8,100,Eastern Mediterranean
2020-06-01,Albania,1143,33,877,233,6,0,5,Europe
2020-06-01,Algeria,9513,661,5894,2958,119,8,146,Africa
2020-06-01,Andorra,765,51,698,16,1,0,4,Europe
2020-06-01,Angola,86,4,18,64,0,0,0,Africa
2020-06-01,Antigua and Barbuda,26,3,19,4,0,0,0,Americas
2020-06-01,Argentina,17415,556,5521,11338,564,17,185,Americas
2020-06-01,Armenia,9492,139,3402,5951,210,8,16,Europe
2020-06-01,Australia,7221,102,6626,493,19,-1,8,Western Pacific
2020-06-01,Austria,16733,668,15596,469,2,0,3,Europe
2020-06-01,Azerbaijan,5662,68,3508,2086,168,5,80,Europe
2020-06-01,Bahamas,102,11,49,42,0,0,1,Americas
2020-06-01,Bahrain,11871,19,7070,4782,473,0,397,Eastern Mediterranean
2020-06-01,Bangladesh,49534,672,10597,38265,2381,22,816,South-East Asia
2020-06-01,Barbados,92,7,76,9,0,0,0,Americas
2020-06-01,Belarus,43403,240,18776,24387,847,5,262,Europe
2020-06-01,Belgium,58517,9486,15919,33112,136,19,32,Europe
2020-06-01,Belize,18,2,16,0,0,0,0,Americas
2020-06-01,Benin,243,3,147,93,11,0,4,Africa
2020-06-01,Bhutan,43,0,6,37,0,0,0,South-East Asia
2020-06-01,Bolivia,10531,343,1137,9051,549,30,169,Americas
2020-06-01,Bosnia and Herzegovina,2524,154,1888,482,14,1,26,Europe
2020-06-01,Botswana,38,1,20,17,3,0,0,Africa
2020-06-01,Brazil,526447,29937,211080,285430,11598,623,4525,Americas
2020-06-01,Brunei,141,2,138,1,0,0,0,Western Pacific
2020-06-01,Bulgaria,2519,140,1090,1289,6,0,16,Europe
2020-06-01,Burkina Faso,847,53,720,74,0,0,0,Africa
2020-06-01,Burma,228,6,138,84,4,0,0,South-East Asia
2020-06-01,Burundi,63,1,33,29,0,0,0,Africa
2020-06-01,Cabo Verde,458,4,193,261,23,0,0,Africa
2020-06-01,Cambodia,125,0,123,2,0,0,0,Western Pacific
2020-06-01,Cameroon,6397,199,3629,2569,493,8,61,Africa
2020-06-01,Canada,93274,7403,0,85871,809,30,0,Americas
2020-06-01,Central African Republic,1069,4,23,1042,58,2,0,Africa
2020-06-01,Chad,790,66,539,185,12,1,48,Africa
2020-06-01,Chile,129020,1113,44946,82961,5470,59,2219,Americas
2020-06-01,China,84154,4638,77822,1694,8,0,9,Western Pacific
2020-06-01,Colombia,30493,969,8384,21140,1110,30,1352,Americas
2020-06-01,Comoros,106,2,26,78,0,0,0,Africa
2020-06-01,Congo (Brazzaville),611,20,179,412,0,0,0,Africa
2020-06-01,Congo (Kinshasa),3195,72,454,2669,125,0,6,Africa
2020-06-01,Costa Rica,1084,10,676,398,28,0,7,Americas
2020-06-01,Cote d'Ivoire,2951,33,1467,1451,118,0,32,Africa
2020-06-01,Croatia,2246,103,2077,66,0,0,5,Europe
2020-06-01,Cuba,2083,83,1826,174,38,0,17,Americas
2020-06-01,Cyprus,949,17,790,142,5,0,0,Europe
2020-06-01,Czechia,9302,321,6642,2339,34,1,84,Europe
2020-06-01,Denmark,11886,576,10599,711,30,2,50,Europe
2020-06-01,Djibouti,3569,24,1521,2024,215,0,17,Eastern Mediterranean
2020-06-01,Dominica,16,0,16,0,0,0,0,Americas
